#{"t_start": 1773677719.898279, "env_id": "None"}
r,l,t
-0.581532,7,28.250662
-0.721769,7,28.25969
-0.650186,7,28.268512
-0.665894,7,28.277369
-0.551424,7,28.286006
-1.009497,7,28.294635
-1.205801,7,28.30323
-0.690927,7,28.311696
-0.537605,7,28.320081
-0.709465,7,28.326785
-0.652169,7,28.332987
-1.0601,7,28.342196
-0.50514,7,28.350091
-1.130579,7,28.36146
-0.735191,7,28.369375
-0.539464,7,28.377843
-0.634964,7,28.383668
-0.688565,7,28.392721
-0.718402,7,28.401881
-1.092266,7,28.410767
-1.035657,7,58.576751
-0.608552,7,58.581627
-0.575347,7,58.590431
-0.594413,7,58.599318
-0.578753,7,58.608361
-0.564789,7,58.616212
-0.597151,7,58.62517
-0.563512,7,58.631726
-0.473755,7,58.637566
-0.967255,7,58.643236
-0.624167,7,58.64896
-1.062428,7,58.654745
-0.63498,7,58.660436
-0.56886,7,58.665307
-0.499509,7,58.675193
-0.615811,7,58.684108
-0.655218,7,58.694243
-0.664545,7,58.703487
-0.551879,7,58.710819
-0.706475,7,58.717795
-0.742998,7,97.269734
-0.552707,7,97.277187
-0.629115,7,97.287603
-0.574173,7,97.295366
-0.573971,7,97.304264
-0.534236,7,97.312181
-0.740822,7,97.321319
-0.647535,7,97.328976
-0.612018,7,97.338143
-0.691106,7,97.345854
-0.626233,7,97.354177
-0.596276,7,97.361675
-0.600542,7,97.370082
-0.574996,7,97.377808
-0.555061,7,97.385695
-0.566585,7,97.393417
-0.485754,7,97.405353
-0.585733,7,97.415589
-0.661177,7,97.425399
-0.68593,7,97.433219
-0.57096,7,130.445183
-0.678002,7,130.450631
-0.573002,7,130.455928
-0.595591,7,130.461252
-0.751915,7,130.471626
-0.693088,7,130.476156
-0.596316,7,130.483722
-0.661709,7,130.49186
-0.542779,7,130.500418
-0.511981,7,130.508406
-0.627268,7,130.516445
-0.6319,7,130.524332
-0.55602,7,130.532224
-0.774176,7,130.540129
-0.460954,7,130.548088
-0.611688,7,130.555991
-0.656036,7,130.563837
-0.50953,7,130.571335
-0.639083,7,130.576988
-0.528696,7,130.585195
-0.541778,7,165.152413
-0.583222,7,165.160515
-0.524599,7,165.167058
-0.530588,7,165.17267
-0.705395,7,165.178127
-0.629198,7,165.183743
-0.704085,7,165.189355
-0.610222,7,165.19484
-0.478477,7,165.203449
-0.525264,7,165.208795
-0.651191,7,165.216453
-0.463067,7,165.2257
-0.540141,7,165.234608
-0.647017,7,165.243095
-0.570392,7,165.250401
-0.668543,7,165.256035
-0.560826,7,165.26144
-0.687819,7,165.269091
-0.560019,7,165.277143
-0.547392,7,165.285141
-0.525026,7,190.486973
-0.630897,7,190.495378
-0.623398,7,190.50392
-0.563497,7,190.511317
-0.605102,7,190.519188
-0.51884,7,190.527224
-0.549491,7,190.535636
-0.609992,7,190.543682
-0.579871,7,190.552287
-0.537217,7,190.560369
-0.525992,7,190.56638
-0.545332,7,190.570799
-0.514475,7,190.575191
-0.580951,7,190.588217
-0.541539,7,190.596844
-0.639303,7,190.604904
-0.592747,7,190.613835
-0.608932,7,190.622278
-0.533743,7,190.630414
-0.492419,7,190.638372
-0.549301,7,223.933318
-0.540988,7,223.93772
-0.569998,7,223.942107
-0.696057,7,223.947096
-0.469205,7,223.952216
-0.629841,7,223.957289
-0.590852,7,223.964525
-0.67111,7,223.969691
-0.624551,7,223.974901
-0.625476,7,223.983184
-0.526244,7,223.990891
-0.49761,7,223.997142
-0.599628,7,224.002311
-0.551091,7,224.00742
-0.566049,7,224.013649
-0.512271,7,224.02132
-0.556446,7,224.029098
-0.540166,7,224.036696
-0.486094,7,224.044385
-0.48251,7,224.051929
-0.508642,7,250.127934
-0.51541,7,250.132426
-0.701185,7,250.136863
-0.55503,7,250.146506
-0.546752,7,250.154255
-0.506785,7,250.162749
-0.534389,7,250.16849
-0.550068,7,250.172917
-0.482732,7,250.179097
-0.568361,7,250.185635
-0.523668,7,250.191161
-0.453593,7,250.198629
-0.59671,7,250.206272
